"cell","comparison","covariate","type","n_grp1","n_grp2","mean_grp1","mean_grp2","sd_grp1","sd_grp2","SMD","null_median_abs_SMD","null_q95_abs_SMD","p_perm","p_wilcoxon","p_floor","p_perm_BH","imbalanced","SMD_vs_null","p_uninformative"
"T_naive","OP_high vs OP_low","mean_FRIP","continuous",17,9,0.6059,0.6101,0.03534,0.03327,-0.1223,0.2897,0.8691,0.776,0.8293,6.401e-07,0.9766,"not distinguishable from chance",0.4223,FALSE
"T_naive","OP_high vs OP_low","mean_log10_nFrags","continuous",17,9,4.124,4.136,0.08551,0.06648,-0.1604,0.2825,0.855,0.6951,0.6276,6.401e-07,0.9766,"not distinguishable from chance",0.5677,FALSE
"T_naive","OP_high vs OP_low","n_cells","continuous",17,9,3494,3777,1077,1320,-0.2343,0.2826,0.8454,0.5719,0.6663,6.401e-07,0.9766,"not distinguishable from chance",0.829,FALSE
"T_naive","OP_high vs OP_low","Sex_predicted","categorical",17,9,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"not distinguishable from chance",NA,FALSE
"T_naive","OP_high vs OP_med","mean_TSS","continuous",17,5,16.6,16.02,1.067,1.091,0.5404,0.3516,1.095,0.3059,0.3084,7.595e-05,0.9766,"not distinguishable from chance",1.537,FALSE
"T_naive","OP_high vs OP_med","mean_FRIP","continuous",17,5,0.6059,0.5908,0.03534,0.05071,0.3458,0.3588,1.072,0.5161,0.4807,7.595e-05,0.9766,"not distinguishable from chance",0.9636,FALSE
"T_naive","OP_high vs OP_med","mean_log10_nFrags","continuous",17,5,4.124,4.142,0.08551,0.08986,-0.2019,0.3469,1.141,0.6863,0.5834,7.595e-05,0.9766,"not distinguishable from chance",0.582,FALSE
"T_naive","OP_high vs OP_med","n_cells","continuous",17,5,3494,3476,1077,818.3,0.01889,0.3464,1.048,0.9676,0.8142,7.595e-05,0.9886,"not distinguishable from chance",0.05454,FALSE
"T_naive","OP_high vs OP_med","Sex_predicted","categorical",17,5,NA,NA,NA,NA,NA,NA,NA,0.6241,0.6241,NA,NA,"not distinguishable from chance",NA,FALSE
"T_naive","Influenza_d3 vs Influenza_ctrl","mean_TSS","continuous",5,5,13.09,12.76,0.4335,0.9952,0.4364,0.4592,1.476,0.5173,0.6761,0.007937,0.9766,"not distinguishable from chance",0.9503,FALSE
"T_naive","Influenza_d3 vs Influenza_ctrl","mean_FRIP","continuous",5,5,0.4781,0.452,0.09767,0.1416,0.2149,0.4015,1.348,0.7317,0.8345,0.007937,0.9766,"not distinguishable from chance",0.5353,FALSE
"T_naive","Influenza_d3 vs Influenza_ctrl","mean_log10_nFrags","continuous",5,5,3.957,3.936,0.1615,0.189,0.1165,0.4252,1.374,0.8294,0.8345,0.007937,0.9766,"not distinguishable from chance",0.274,FALSE
"T_naive","Influenza_d3 vs Influenza_ctrl","n_cells","continuous",5,5,4197,4907,2663,2337,-0.2835,0.426,1.744,0.6795,0.8345,0.007937,0.9766,"not distinguishable from chance",0.6656,FALSE
"T_naive","Influenza_d3 vs Influenza_ctrl","Sex_predicted","categorical",5,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"not distinguishable from chance",NA,FALSE
"T_naive","Influenza_d30 vs Influenza_ctrl","mean_TSS","continuous",5,5,12.76,12.76,0.8964,0.9952,0.002078,0.4089,1.741,1,0.8345,0.007937,1,"not distinguishable from chance",0.005082,FALSE
"T_naive","Influenza_d30 vs Influenza_ctrl","mean_FRIP","continuous",5,5,0.4367,0.452,0.1022,0.1416,-0.1235,0.4469,1.518,0.8398,0.8345,0.007937,0.9766,"not distinguishable from chance",0.2762,FALSE
"T_naive","Influenza_d30 vs Influenza_ctrl","mean_log10_nFrags","continuous",5,5,3.85,3.936,0.1887,0.189,-0.4557,0.455,1.448,0.4909,0.5309,0.007937,0.9766,"not distinguishable from chance",1.002,FALSE
"T_naive","Influenza_d30 vs Influenza_ctrl","n_cells","continuous",5,5,5416,4907,2214,2337,0.2237,0.4303,1.555,0.7219,0.6761,0.007937,0.9766,"not distinguishable from chance",0.5199,FALSE
"T_naive","Influenza_d30 vs Influenza_ctrl","Sex_predicted","categorical",5,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"not distinguishable from chance",NA,FALSE
"T_naive","Influenza_d6 vs Influenza_ctrl","mean_TSS","continuous",5,5,11.84,12.76,1.426,0.9952,-0.7402,0.4582,1.285,0.2889,0.4034,0.007937,0.9766,"not distinguishable from chance",1.615,FALSE
"T_naive","Influenza_d6 vs Influenza_ctrl","mean_FRIP","continuous",5,5,0.4138,0.452,0.1219,0.1416,-0.2892,0.4064,1.511,0.6625,0.8345,0.007937,0.9766,"not distinguishable from chance",0.7117,FALSE
"T_naive","Influenza_d6 vs Influenza_ctrl","mean_log10_nFrags","continuous",5,5,3.919,3.936,0.1757,0.189,-0.09678,0.4147,1.46,0.8704,0.8345,0.007937,0.9766,"not distinguishable from chance",0.2333,FALSE
"T_naive","Influenza_d6 vs Influenza_ctrl","n_cells","continuous",5,5,2801,4907,1725,2337,-1.026,0.4896,1.445,0.159,0.4034,0.007937,0.9766,"not distinguishable from chance",2.095,FALSE
"T_naive","Influenza_d6 vs Influenza_ctrl","Sex_predicted","categorical",5,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"not distinguishable from chance",NA,FALSE
"T_naive","OP_med vs OP_low","mean_TSS","continuous",5,9,16.02,16.26,1.091,0.8468,-0.246,0.397,1.204,0.6737,0.8939,0.000999,0.9766,"not distinguishable from chance",0.6196,FALSE
"T_naive","OP_med vs OP_low","mean_FRIP","continuous",5,9,0.5908,0.6101,0.05071,0.03327,-0.4503,0.4121,1.161,0.4575,0.505,0.000999,0.9766,"not distinguishable from chance",1.093,FALSE
"T_naive","OP_med vs OP_low","mean_log10_nFrags","continuous",5,9,4.142,4.136,0.08986,0.06648,0.06861,0.3767,1.254,0.8942,0.8939,0.000999,0.9886,"not distinguishable from chance",0.1821,FALSE
"T_naive","OP_med vs OP_low","n_cells","continuous",5,9,3476,3777,818.3,1320,-0.2735,0.41,1.179,0.6547,0.7897,0.000999,0.9766,"not distinguishable from chance",0.6669,FALSE
"T_naive","OP_med vs OP_low","Sex_predicted","categorical",5,9,NA,NA,NA,NA,NA,NA,NA,0.5804,0.5804,NA,NA,"not distinguishable from chance",NA,FALSE
