"Subject","acute","chronic","pre"
"sub1",0.46723044397463,0.419506462984724,0.0657084188911704
"sub2",0.257663628831814,0.248407643312102,0.241935483870968
"sub3",0.12998266897747,0.173611111111111,0.0628571428571429
"sub4",0.0670731707317073,0.158305462653289,0.0443786982248521
