"analysis_dir","cell","reason"
"/icbb/projects/igunduz/DARPA_analysis/chracchr_run_011023/ChrAccRuns_covid_2023-10-02/","Mono_CD14_mod_vs_sev","no dsATAC_filtered object"
"/icbb/projects/igunduz/DARPA_analysis/chracchr_run_011023/ChrAccRuns_covid_2023-10-02/","Mono_CD16","no differential_data directory"
