"collection","filename","description","userSet","log2OR_unadj","qValue_unadj","support_unadj","log2OR_adj","qValue_adj","support_adj","cell","comparison","sig_unadj","sig_adj","agreement"
"EnsemblRegBuildBP","regionSet_2.bed","dnase","loss",1.56269986078902,0.00573891311916402,15,2.27518533947939,2.84190113713053e-05,16,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_420.bed","MA1126.1_FOS::JUN(var.2)","gain",1.00447191737322,0.00605180572534976,32,0.63906518071628,0.426377826069817,15,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_546.bed","MA1126.1_FOS::JUN(var.2)","gain",1.00447191737322,0.00605180572534976,32,0.63906518071628,0.426377826069817,15,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_280.bed","MA0773.1_MEF2D","gain",0.658528193495844,0.00640258252301481,72,0.623981206292861,0.0969911373746422,42,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_377.bed","MA0773.1_MEF2D","gain",0.658528193495844,0.00640258252301481,72,0.623981206292861,0.0969911373746422,42,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_261.bed","MA0753.1_ZNF740","loss",0.630718788804329,0.00686994960077424,90,0.150989347160844,0.937972378738927,47,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_357.bed","MA0753.1_ZNF740","loss",0.630718788804329,0.00686994960077424,90,0.150989347160844,0.937972378738927,47,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_427.bed","MA1133.1_JUN::JUNB(var.2)","gain",1.02553855207997,0.00686994960077424,30,1.03548841660682,0.0701577357537725,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_553.bed","MA1133.1_JUN::JUNB(var.2)","gain",1.02553855207997,0.00686994960077424,30,1.03548841660682,0.0701577357537725,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_23.bed","dmrt1","gain",0.529926518695554,0.00689111899752876,114,0.709931373666199,0.00530143510848495,75,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_179.bed","MA0660.1_MEF2B","gain",0.667507210335593,0.00724145976382998,68,0.563472779827669,0.17478219791519,38,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_264.bed","MA0660.1_MEF2B","gain",0.667507210335593,0.00724145976382998,68,0.563472779827669,0.17478219791519,38,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_123.bed","MA0504.1_NR2C2","loss",0.712979160555229,0.00837898549156023,63,0.569924913665629,0.184146491702403,39,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_170.bed","MA0504.1_NR2C2","loss",0.712979160555229,0.00837898549156023,63,0.569924913665629,0.184146491702403,39,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_268.bed","MA0760.1_ERF","loss",0.956224603946176,0.00837898549156023,34,1.10446082188274,0.0159097009281881,25,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_364.bed","MA0760.1_ERF","loss",0.956224603946176,0.00837898549156023,34,1.10446082188274,0.0159097009281881,25,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_49.bed","MA0098.3_ETS1","loss",0.927168695513413,0.0084544075151778,36,0.847404852600654,0.105195416436001,23,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_69.bed","MA0098.3_ETS1","loss",0.927168695513413,0.0084544075151778,36,0.847404852600654,0.105195416436001,23,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_139.bed","nr_14","gain",0.450624122238718,0.00853992075195032,163,0.589576819281985,0.00972153414770497,104,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_38.bed","ets_2","loss",1.30743584982721,0.00897512006539034,314,1.18585106145263,0.101237177351805,210,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_194.bed","sox_2","gain",0.531221494418531,0.00901819961539892,106,0.383380746275088,0.306355336453834,58,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_67.bed","MA0136.2_ELF5","loss",0.73011251678713,0.0092392168285015,58,0.907618466832909,0.00851478101689447,43,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_96.bed","MA0136.2_ELF5","loss",0.73011251678713,0.0092392168285015,58,0.907618466832909,0.00851478101689447,43,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_243.bed","znf274","gain",0.440843639626338,0.0096924530883232,167,0.431713013059953,0.0982847596160414,99,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_50.bed","fox_9","gain",0.563895882080138,0.0113645210750314,88,1.0945065864685,4.01437497562448e-06,71,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_59.bed","MA0112.3_ESR1","gain",0.633458460255412,0.0118469008940417,68,0.571643332159635,0.160064244001156,39,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_82.bed","MA0112.3_ESR1","gain",0.633458460255412,0.0118469008940417,68,0.571643332159635,0.160064244001156,39,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_257.bed","znf384_2","gain",0.421507540432657,0.0127505454011892,176,0.366139050320427,0.184146491702403,102,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_324.bed","MA0818.1_BHLHE22","gain",1.19845615292247,0.0127505454011892,20,1.32785300842567,0.0485484604138211,13,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_422.bed","MA0818.1_BHLHE22","gain",1.19845615292247,0.0127505454011892,20,1.32785300842567,0.0485484604138211,13,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_216.bed","tfap2_1","loss",0.605291378855886,0.0129220104751555,256,0.280421104833422,0.572640646554022,163,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_5.bed","MA0018.3_CREB1","gain",0.840170258859952,0.0130242204436103,38,0.795519602104523,0.139827329029822,22,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_9.bed","MA0018.3_CREB1","gain",0.840170258859952,0.0130242204436103,38,0.795519602104523,0.139827329029822,22,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_52.bed","gc_tract","loss",1.63225343408765,0.0131858085752598,319,0.812451525539736,0.470271996656307,211,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_211.bed","tbx_2","gain",0.413554659294266,0.0134643159889973,182,0.463466627574963,0.0540982880742079,111,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_128.bed","MA0461.2_Atoh1","gain",1.1447431843005,0.0147560866490685,21,1.31263306950892,0.0411043284307374,14,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_40.bed","MA0062.2_Gabpa","loss",0.720598424519156,0.0151200016478555,53,0.74176087422136,0.0701577357537725,36,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"Superenhancers","regionSet_29.bed","CD19_primary","loss",0.921245066316962,0.0151212111663543,32,0.456056540294908,0.63348881813876,16,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_119.bed","MA0497.1_MEF2C","gain",0.528324407628999,0.0151938461550027,94,0.369499020597398,0.380989490898858,51,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_163.bed","MA0497.1_MEF2C","gain",0.528324407628999,0.0151938461550027,94,0.369499020597398,0.380989490898858,51,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_323.bed","MA0817.1_BHLHE23","gain",1.13405595929116,0.0156573071929817,21,0.939900073545619,0.275327626875719,11,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_421.bed","MA0817.1_BHLHE23","gain",1.13405595929116,0.0156573071929817,21,0.939900073545619,0.275327626875719,11,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
