"","Other","Tex"
"CD8A",2.05805493072535,2.00562319835278
"CD8B",0.659713773431133,0.601956760466712
"CD4",0.165094539527302,0.172600549073439
"FOXP3",0.631334637326813,0.636494852436513
"IL2RA",0.449573105134474,0.441372683596431
