"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR"
5.47848201077778,11.7231164120517,6.08685213395269,0.0136794400077472,0.280955611473332,1,0.24711542104866
-2.23412965863692,11.4111287997641,3.69677245822751,0.0546206276795389,0.453117128401826,2,0.423870861955728
-0.164072823679569,10.8822827214757,0.0155619445726581,0.900732517759692,0.971178164091067,3,0.970587140195026
-2.55632204001772,11.7090510685202,2.64274181843355,0.104138045348403,0.521896739832433,4,0.506039445041069
0.987914052563367,10.8256457008998,0.547371235541057,0.459456723448105,0.788619749201971,5,0.784314092982563
-1.79323969211483,12.2170768934749,2.20855490550487,0.137361397060686,0.521896739832433,6,0.507228039792069
-0.928221361188432,11.7459278900363,0.391105758655263,0.531770443960891,0.815381347406699,7,0.816540359935429
0.79358545382612,10.9386550897097,0.463395820785862,0.496098295941761,0.801300186581706,8,0.801877188838992
-1.38292701755385,12.2850944612259,0.777190973006433,0.378078385078465,0.739137707643423,9,0.732703852136271
-1.8495195265382,12.1147210088172,1.80487998436287,0.179234091032426,0.542115705260804,10,0.527163841710573
0.196141491258459,11.1403427838394,0.020339969714325,0.886602081085332,0.971178164091067,11,0.969672536269415
-2.93239425465044,12.3993500874823,2.78861167408991,0.0950498400199527,0.521896739832433,12,0.500575066543369
-1.94974967589787,12.19761724174,2.59567457521282,0.10727015112949,0.521896739832433,13,0.507228039792069
-0.390452373138467,12.9581542288716,0.102936836235254,0.748357670642359,0.923341048834725,14,0.921539104537939
4.20865644817175,11.3805353889152,3.5449809237558,0.059830944380824,0.459894071245109,15,0.434931651170749
3.83137045047229,11.5874165287014,3.82567307043798,0.0505738135295404,0.453117128401826,16,0.419680740409631
-3.04780523311317,11.3971382266194,3.38446167656247,0.065920999607773,0.484268762572762,17,0.462239684989013
-1.64996721353405,10.843064759522,2.11908212743156,0.145587436903054,0.521896739832433,18,0.507228039792069
-2.37629122491477,11.5297558336428,3.24848645295066,0.0715985023964518,0.491571807498027,19,0.468221560055459
-1.16899874362438,11.0953056520503,0.845353444066207,0.357950504450129,0.72965484826171,20,0.721096162817949
0.778867485011577,12.2028401272678,0.36382683689794,0.546438113399332,0.822509527862742,21,0.825643605029685
2.40266801346082,11.2943911673154,2.78690963006835,0.0951507526587562,0.521896739832433,22,0.500575066543369
-0.90493256216473,12.2131473810463,0.231678063416384,0.630320509100785,0.867866544643659,23,0.871408908127447
1.00232489432152,12.3002383815134,0.213944506983759,0.643729613439471,0.877632676155357,24,0.880989692520829
3.04276104790969,10.8599783540625,2.47308328051332,0.115925164755057,0.521896739832433,25,0.507228039792069
2.82653689011612,10.5877393744546,3.53447824334449,0.0602104851050374,0.459894071245109,26,0.434931651170749
-1.42113092537619,11.1512352438289,1.94522843667334,0.163214198397479,0.521896739832433,27,0.507228039792069
3.12506908852584,11.1873164151903,5.0247907090969,0.02506611213241,0.393221712387742,28,0.354282586122832
-2.35257122201631,12.0359849602676,2.27671244537291,0.13144445384114,0.521896739832433,29,0.507228039792069
1.8392586003062,10.9080587826869,2.35227471165509,0.125214956404346,0.521896739832433,30,0.507228039792069
0.142181700239058,11.9958090164792,0.00679314651822404,0.934318274299628,0.977752226083207,31,0.976828169417952
1.65095559588731,11.329768587653,1.31822686808297,0.251010022206688,0.617457808636773,32,0.612979304399094
0.11871010952506,11.5571326959247,0.0134570666065085,0.90765733759856,0.971178164091067,33,0.970587140195026
0.405734933602093,11.5600670716333,0.107534604140549,0.742993476125511,0.923341048834725,34,0.921539104537939
-0.490059264031671,11.720751994044,0.130840982250464,0.71758935766854,0.902929242907057,35,0.902149533205238
2.75856610232379,11.4134161108602,2.1153185876435,0.145945411283609,0.521896739832433,36,0.507228039792069
0.234761478377172,11.057093246131,0.0446281704415276,0.832704823554169,0.938833869693425,37,0.935997846935579
-0.28336916969506,11.4376783728452,0.0518075016524527,0.819964272522267,0.937714101051741,38,0.93441360139362
-0.454312129833203,11.5657231257437,0.227482197560915,0.633434818813044,0.867866544643659,39,0.871408908127447
-0.399184605647663,11.6283829094121,0.146392483784806,0.702036408265372,0.899536185237547,40,0.898053086741953
-1.4195820330121,11.7694278665117,0.674289078567579,0.411631144030595,0.753362196012519,41,0.74673480143231
0.731307579047298,11.2544309454586,0.38425400857016,0.535386481677662,0.816652709698862,42,0.819183664139569
2.09443685146832,10.8890827656889,1.86834230668752,0.171776381127323,0.535640877576804,43,0.521452778705345
-1.0572952955955,11.3080888920222,0.956206676882881,0.328230157727109,0.702259872346373,44,0.69464194207648
0.646371626461715,11.2275979864714,0.382817507909172,0.536150257237079,0.816652709698862,45,0.819183664139569
3.33642207927829,10.802552512362,4.24502215518517,0.0394590885126251,0.428927070842476,46,0.392981317538888
1.82453749307885,11.7174344674684,1.9593890056795,0.161691066182029,0.521896739832433,47,0.507228039792069
-1.68904776950801,11.6645185692768,1.94964482250802,0.162737414276314,0.521896739832433,48,0.507228039792069
2.63713341191284,11.6379555885473,4.15126236225175,0.041698695164828,0.428927070842476,49,0.392981317538888
3.60418933479647,11.3601865077212,6.08063892046296,0.0137275249283019,0.280955611473332,50,0.24711542104866
-0.240769751955158,12.1610238527978,0.0164672664706295,0.897901251557421,0.971178164091067,51,0.970587140195026
1.76693633888628,11.5764572999989,1.6546090073016,0.198440670328236,0.558127766701247,52,0.54665098216833
0.298865335895782,11.3820631277543,0.0482541093001861,0.826145832539915,0.937714101051741,53,0.93441360139362
2.15225042871045,11.8452726797927,2.96681526901,0.0851010436549985,0.521116995263722,54,0.493058561619348
-1.49063494680026,11.8704535696025,1.1754932631474,0.278370089357009,0.656667903098585,55,0.650809302877957
-2.02514907301764,12.2011928514699,2.17611721200657,0.14028175463581,0.521896739832433,56,0.507228039792069
-0.80335254457006,11.9388674225489,0.356572296408346,0.550465066145798,0.822509527862742,57,0.825643605029685
-0.876274365245095,12.1732678338261,0.254374175150359,0.614052048665416,0.85607341658222,58,0.858104046362603
-0.695450635952166,12.4323515135189,0.314818323686697,0.574783959883973,0.826251942333212,59,0.830389865777974
-1.06172331766753,12.2782855398783,0.815787602793278,0.366493478562107,0.73440398619473,60,0.726150705079103
-1.1180107750323,11.1959762737312,0.758739997184673,0.383798882594217,0.739137707643423,61,0.732703852136271
-1.01215755445286,11.7642947040743,0.855290572214233,0.355140805888958,0.72965484826171,62,0.721096162817949
-1.68110577677321,12.5831145472934,1.79693124611007,0.180194261879401,0.542115705260804,63,0.527163841710573
-3.31267887529411,12.0448848497135,4.34250720080914,0.0372639227474454,0.428927070842476,64,0.392981317538888
-0.995744215353274,11.6391744800317,0.728366672975538,0.393487186266872,0.739137707643423,65,0.732703852136271
1.6120983206085,11.6311815586147,1.95590199589389,0.162064622791546,0.521896739832433,66,0.507228039792069
-1.31046093294202,12.0382899142618,1.05105700583603,0.30535361821359,0.685183728674397,67,0.675033416215063
-0.728929680726567,11.9906463158551,0.27445075229065,0.600403739176383,0.852425061793631,68,0.85440805905938
-0.470776300521602,11.4815584326733,0.228312156098567,0.632816012504363,0.867866544643659,69,0.871408908127447
1.38047935679221,10.5927777652197,1.39323090837282,0.237961949331242,0.598155719630444,70,0.592925972909177
