"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim1",1,0.0238657527018086,"CellType",0.966391352678166,0.965886304699285,0,834,91,"pseudobulk (LMM)",0
"IterativeLSI","Dim1",1,0.0238657527018086,"Cohort",0.505337215568498,0.488279878174308,2.71868511502007e-13,91,91,"sample",6.79671278755018e-13
"IterativeLSI","Dim1",1,0.0238657527018086,"Control_status",0.0953855236565871,0.0852213160572229,0.00289519301193658,91,91,"sample",0.0289519301193658
"IterativeLSI","Dim1",1,0.0238657527018086,"Exposure_group",0.561147951980975,0.487056047769971,2.24247116051919e-09,91,91,"sample",5.60617790129798e-09
"IterativeLSI","Dim1",1,0.0238657527018086,"Age",0.00533029811561219,-0.0112475302491275,0.572803954109456,62,62,"sample",0.572803954109456
"IterativeLSI","Dim1",1,0.0238657527018086,"Sex_observed",0.0619763538805969,0.0463426264452736,0.0510350664011462,62,62,"sample",0.510350664011462
"IterativeLSI","Dim1",1,0.0238657527018086,"Sex_predicted",0.00130091149277527,-0.00992042658033965,0.734291587381715,91,91,"sample",0.815879541535239
"IterativeLSI","Dim1",1,0.0238657527018086,"Sampling_day",5.08245557131797e-06,-0.020828144993271,0.987602938191756,50,50,"sample",0.987602938191756
"IterativeLSI","Dim1",1,0.0238657527018086,"Batch_C19",0.423865013830021,0.398815666605239,0.000424199366253832,25,25,"sample",0.00141399788751277
"IterativeLSI","Dim1",1,0.0238657527018086,"Supplier",0.459641946599442,0.44736108174943,1.72978311700643e-12,91,91,"sample",4.32445779251607e-12
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_tss_cutoff",0.141691345746856,0.132047428283337,0.000235627694287679,91,91,"sample",0.000336610991839541
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_frag_cutoff",0.0173141076684141,0.00627269314783452,0.213763031450877,91,91,"sample",0.305375759215538
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_nCells",0.00384075848941411,0.00249822581891468,0.0732181301475238,834,91,"pseudobulk (LMM)",0.138378043026264
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_meanTSS",0.6662527300683,0.665802935903972,2.502124612832e-113,834,91,"pseudobulk (LMM)",1.251062306416e-112
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_meanLog10Frags",0.00131943351872847,-2.64971638610501e-05,0.294017340229554,834,91,"pseudobulk (LMM)",0.326685933588393
"IterativeLSI","Dim1",1,0.0238657527018086,"QC_meanFRIP",0.00306715417625137,0.00172357891233788,0.109464354021895,834,91,"pseudobulk (LMM)",0.121627060024328
"IterativeLSI","Dim2",2,0.512076895338353,"CellType",0.996822390018245,0.996774639048574,0,834,91,"pseudobulk (LMM)",0
"IterativeLSI","Dim2",2,0.512076895338353,"Cohort",0.050916113340118,0.0181890827656394,0.205927375045778,91,91,"sample",0.205927375045778
"IterativeLSI","Dim2",2,0.512076895338353,"Control_status",0.00625999575681785,-0.00490562226838631,0.455973075276407,91,91,"sample",0.651390107537724
"IterativeLSI","Dim2",2,0.512076895338353,"Exposure_group",0.20487438078762,0.0706323931283867,0.12717869695333,91,91,"sample",0.12717869695333
"IterativeLSI","Dim2",2,0.512076895338353,"Age",0.0168867015429733,0.000501479902022983,0.314092816798208,62,62,"sample",0.44870402399744
"IterativeLSI","Dim2",2,0.512076895338353,"Sex_observed",0.000607331521465883,-0.0160492129531764,0.849209162450791,62,62,"sample",0.870654208936376
"IterativeLSI","Dim2",2,0.512076895338353,"Sex_predicted",0.00148519789104245,-0.00973406954838407,0.716840721841786,91,91,"sample",0.815879541535239
"IterativeLSI","Dim2",2,0.512076895338353,"Sampling_day",0.00398859326358665,-0.0167616443767553,0.663042986365932,50,50,"sample",0.987602938191756
"IterativeLSI","Dim2",2,0.512076895338353,"Batch_C19",0.116303212598554,0.0778816131463176,0.095254636707783,25,25,"sample",0.190509273415566
"IterativeLSI","Dim2",2,0.512076895338353,"Supplier",0.0468704113801712,0.0252083752751751,0.120972284182609,91,91,"sample",0.120972284182609
"IterativeLSI","Dim2",2,0.512076895338353,"QC_tss_cutoff",0.00732008306914156,-0.00383362386266595,0.420033074448758,91,91,"sample",0.420033074448758
"IterativeLSI","Dim2",2,0.512076895338353,"QC_frag_cutoff",0.00774638111229003,-0.00340253595386408,0.406764585491176,91,91,"sample",0.451960650545752
"IterativeLSI","Dim2",2,0.512076895338353,"QC_nCells",0.00359619448998724,0.00225333221841051,0.0830268258157587,834,91,"pseudobulk (LMM)",0.138378043026264
"IterativeLSI","Dim2",2,0.512076895338353,"QC_meanTSS",0.724071775288018,0.723699904365225,5.32336147681475e-135,834,91,"pseudobulk (LMM)",5.32336147681475e-134
