"embedding","PC","pc_index","var_explained","covariate","r2","p","n","p_adj"
"IterativeLSI","PC1",1,0.348568254291939,"CellType",0.886982688712974,0,834,0
"IterativeLSI","PC1",1,0.348568254291939,"Cohort",0.104811374257882,8.33695784837872e-20,834,2.08423946209468e-19
"IterativeLSI","PC1",1,0.348568254291939,"Control_status",0.00972222219216261,0.0043693020932865,834,0.0109232552332163
"IterativeLSI","PC1",1,0.348568254291939,"Exposure_group",0.106600742057213,3.64550470746582e-14,834,7.29100941493164e-14
"IterativeLSI","PC1",1,0.348568254291939,"Age",0.00039590513948385,0.641183965152107,551,0.641183965152107
"IterativeLSI","PC1",1,0.348568254291939,"Sex_observed",0.00013198523026155,0.787875754986634,551,0.787875754986634
"IterativeLSI","PC1",1,0.348568254291939,"Sex_predicted",0.000516044289695993,0.51238093747286,834,0.627079859387911
"IterativeLSI","PC1",1,0.348568254291939,"Sampling_day",0.000726493677440639,0.586303618913112,410,0.994033022875406
"IterativeLSI","PC1",1,0.348568254291939,"QC_nCells",0.0074110209846537,0.0128822038964507,834,0.0257644077929015
"IterativeLSI","PC1",1,0.348568254291939,"QC_meanTSS",0.0793170078504007,1.13769796909984e-16,834,2.8442449227496e-16
"IterativeLSI","PC1",1,0.348568254291939,"QC_meanLog10Frags",0.0472068253801329,2.28159132969195e-10,834,5.70397832422987e-10
"IterativeLSI","PC1",1,0.348568254291939,"QC_meanFRIP",0.0572991777796928,2.47758357838142e-12,834,8.25861192793808e-12
"IterativeLSI","PC2",2,0.082534035410085,"CellType",0.681419885885408,1.35491872699392e-195,834,2.2581978783232e-195
"IterativeLSI","PC2",2,0.082534035410085,"Cohort",0.189874641573183,1.12846743074384e-37,834,5.64233715371918e-37
"IterativeLSI","PC2",2,0.082534035410085,"Control_status",0.012010622405217,0.00152571471895728,834,0.00508571572985761
"IterativeLSI","PC2",2,0.082534035410085,"Exposure_group",0.201806681287127,9.88028220786407e-33,834,4.94014110393204e-32
"IterativeLSI","PC2",2,0.082534035410085,"Age",0.00793284242916038,0.0366087985794977,551,0.0896171319250639
"IterativeLSI","PC2",2,0.082534035410085,"Sex_observed",0.000761466896488812,0.518024882763473,551,0.66612036432266
"IterativeLSI","PC2",2,0.082534035410085,"Sex_predicted",0.00143090433242593,0.275198622132771,834,0.559233022779623
"IterativeLSI","PC2",2,0.082534035410085,"Sampling_day",0.00108583828147369,0.505812594982742,410,0.994033022875406
"IterativeLSI","PC2",2,0.082534035410085,"QC_nCells",0.0574653866489543,2.29914836342133e-12,834,2.29914836342133e-11
"IterativeLSI","PC2",2,0.082534035410085,"QC_meanTSS",0.141931117524588,1.61373192460359e-29,834,8.06865962301796e-29
