"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"IterativeLSI","Dim3","QC_meanTSS",0.00121370300521918,0.314512808079261,834,91,"per pseudobulk, sample-adjusted",0.00191504774953057,4.13998135013095e-115,271299,TRUE,4.59997927792328e-115
"IterativeLSI","Dim3","QC_meanLog10Frags",0.00988874826857388,0.00573142992977097,834,91,"per pseudobulk, sample-adjusted",0.012942975900087,0,271299,TRUE,0
"IterativeLSI","Dim3","QC_meanFRIP",0.0179948099291267,0.000201100135342156,834,91,"per pseudobulk, sample-adjusted",0.0199470780269537,0,271299,TRUE,0
"IterativeLSI","Dim4","CellType",0.882072194791732,0,834,91,"per pseudobulk, sample-adjusted",0.785874510311933,0,271299,TRUE,0
"IterativeLSI","Dim4","Cohort",0.816015079328435,3.54288768047494e-31,91,91,"per sample",0.0524387417810098,0,271299,FALSE,0
"IterativeLSI","Dim4","Control_status",0.0316018364967405,0.306100276892791,91,91,"per sample",0.0150953508453994,0,271299,FALSE,0
"IterativeLSI","Dim4","Exposure_group",0.833834978644262,5.2547852286535e-24,91,91,"per sample",0.056868266409549,0,271299,FALSE,0
"IterativeLSI","Dim4","Age",0.0352121894735213,0.288311004871893,62,62,"per sample",2.7054178658779e-05,0.0399639779997225,155962,FALSE,0.0444044199996916
"IterativeLSI","Dim4","Sex_observed",0.00140847694777706,0.870654208936376,62,62,"per sample",0.00257551822349986,1.83308278370002e-89,155962,FALSE,6.11027594566672e-89
"IterativeLSI","Dim4","Sex_predicted",0.000384330909686851,0.853663489246193,91,91,"per sample",0.00554291009248484,0,271299,FALSE,0
"IterativeLSI","Dim4","Days_from_onset",0.00531335966310251,0.987602938191756,50,50,"per sample",0.000998179343557037,3.64560595519364e-30,130407,FALSE,7.29121191038728e-30
"IterativeLSI","Dim4","QC_nCells",0.000247969337644412,0.64945802553289,834,91,"per pseudobulk, sample-adjusted",7.81492454386785e-06,0.145370411246705,271299,FALSE,0.145370411246705
"IterativeLSI","Dim4","QC_meanTSS",0.0228159620505428,1.45141230142954e-05,834,91,"per pseudobulk, sample-adjusted",0.000438055793830823,1.11877208580233e-27,271299,TRUE,1.11877208580233e-27
"IterativeLSI","Dim4","QC_meanLog10Frags",0.0138224048286328,0.00110246652411846,834,91,"per pseudobulk, sample-adjusted",0.00508304428082136,1.31512541422491e-302,271299,TRUE,1.31512541422491e-302
