"Cell_Type","Donor","Exposure","Residuals","Motif"
0.684391830620008,0.0111408112484488,0.0454451478888199,0.259022210242724,"ahr"
0.214513123212743,1.32747458206093e-10,0.0281689192880313,0.757317957366478,"aire"
0.749740094005117,0.00877070858713193,0.0452709125795424,0.196218284828209,"ap1_1"
0.784472661383956,0.00273771964292877,0.0390832706624247,0.173706348310691,"ap1_2"
0.415806181370335,0.0109788161255137,0.0892496193259238,0.483965383178228,"ari5a"
0.589409916316328,0,0,0.410590083683672,"ari5b"
0.665816066352875,0.0117773568217289,0.0109365928115851,0.31146998401381,"batf"
0.310772905931651,0.00178925847721895,0,0.68743783559113,"bcl6_1"
0.569302187217666,0.0255499024605594,0.00660830234979034,0.398539607971985,"bcl6_2"
0.851315326948433,0,3.71704290710741e-17,0.148684673051567,"ccaat_cebp"
0.61275674440414,0.017160698108518,0.0171586293773446,0.352923928109997,"cenbp"
0.621194757432848,0.000842832693784013,0.0745768328392173,0.303385577034151,"cpeb1"
0.601715448200516,0.0542694668397559,0.0227174567175583,0.321297628242169,"creb_atf_1"
0.578164880449597,0.0605426436229782,0.0252875361508008,0.336004939776624,"creb_atf_2"
0.840071327526424,7.9763866572655e-05,0.00235389268074524,0.157495015926258,"creb_atf_3"
0.492018911906724,0.0438818600933432,0.0427617213912411,0.421337506608692,"creb3_xbp1"
0.577856252605069,0.0523313361969739,0.0421589952121528,0.327653415985804,"ctcf"
0.66002317985023,0.00109906772352121,0.0927356070563805,0.246142145369869,"cux_1"
0.436409884161809,0.00445828946962813,0.0318192307741097,0.527312595594453,"cux_2"
0.424976193508552,0,0.0171780045586227,0.557845801932825,"cux_3"
0.625808587440764,0,0.0119816718809879,0.362209740678248,"cux_4"
0.445774175438005,0.0155996234331265,0.0106138820042954,0.528012319124573,"ddit3cebpa"
0.265461910362939,0.0136939636420438,0.0297910836745126,0.691053042320504,"dmrt1"
0.271937109931512,2.84327194491839e-11,0.000228692341660935,0.727834197698395,"dmrt3"
0.703439033296675,0.00832459001570067,0.0420137353217108,0.246222641365913,"e2f_1"
0.60838587638081,0.0544089628047212,0.0318467592721637,0.305358401542305,"e2f_2"
0.49570579023224,0.000690233372986387,0.064205954776084,0.43939802161869,"e2f_3"
0.651715880069074,0.0223200407415743,0.116598853063573,0.209365226125779,"e2f_4"
0.779013778297995,0.00745609708408113,0.0105260941815285,0.203004030436395,"ebf1"
0.79467968520737,0.0118338530339255,0.010491735200983,0.182994726557722,"ebox_cacctg"
0.382854984795731,0.0599308239131575,0.00594843776275759,0.551265753528354,"ebox_cacgtg_1"
0.206181089833004,0.038843980104865,0.0918921697497809,0.66308276031235,"ebox_cacgtg_2"
0.715817165999652,0.0142250896858983,0.0622192849356342,0.207738459378815,"ebox_cagatgg"
0.686921118720525,0.0205021425518229,0.0686332726372228,0.223943466090429,"ebox_cagctg"
0.569638232961426,0.0108927570860185,0.133285011684534,0.286183998268022,"ebox_catatg"
0.733149213145277,0.00854376934007362,0.0259437782159403,0.232363239298709,"egr"
0.736736291453394,0.0452403059214846,0.0199999437119608,0.19802345891316,"ets_1"
0.796244292557394,0,0.0137138875046701,0.190041819937936,"ets_2"
0.574017684533875,0.00243820219776508,0.00234558349793489,0.421198529770425,"evi1_mecom"
0.557873364301796,0.00503974486531099,0.00854945161032051,0.428537439222572,"ewsr1_fli1"
0.279107812353008,0.00760909719358796,0.0683534245284876,0.644929665924916,"fezf1"
0.313629386559012,0.00380765617813605,0.0496675682306824,0.632895389032169,"fox_1"
0.495985624302109,0,0.00546194699791294,0.498552428699978,"fox_2"
0.595646294331587,0.0029156204353142,0.00271100693134912,0.398727078301749,"fox_3"
0.469192404619134,0.0345873440596992,0.0122001423598009,0.484020108961366,"fox_4"
0.775519693383164,0,0.0396087683565038,0.184871538260333,"fox_5"
0.601333605740702,0.000571609571187344,0.0791266700380393,0.318968114650071,"fox_6"
0.663882399698226,0.00502121903019714,0.0597373224227229,0.271359058848854,"fox_7"
0.552717327658123,0.00713233102424453,0.114918930599056,0.325231410718577,"fox_8"
0.574957647959656,0.0128728006692558,0.0811848776548766,0.330984673716211,"fox_9"
0.817987204044649,0.00683177262310807,0.00680699995505146,0.168374023377192,"gata"
0.490450912572046,0.0301459215081449,0.185768757464244,0.293634408455565,"gc_tract"
0.239272905680872,0.150840598597476,0.138166625945368,0.471719869776284,"gcm"
0.371116570858714,0,0.00766667122294287,0.621216757918343,"gfi"
0.296118404345735,0.0618034741349315,0.352861346549081,0.289216774970252,"gli"
0.300535019191859,0.0326450576383387,0.0182420920719361,0.648577831097866,"glis"
0.643242930576394,0.011382857922841,0.0366075322891066,0.308766679211658,"gmeb2_1"
0.409446516000961,0.0487466669585327,0.0934136277525761,0.44839318928793,"gmeb2_2"
0.577774051420218,0.0182332930940145,0.0383691512731081,0.365623504212659,"gmeb2_3"
0.394808455781089,0.0263176190957229,0.0913696793223897,0.487504245800798,"grhl"
0.688507336659045,0.0100965728529114,0.0523966600526489,0.248999430435394,"hand1"
0.273191952121747,0.00559736798929909,0.00696381494895861,0.714246864939995,"hd_1"
0.419235358084297,0.00748757503614322,0.0587385387344165,0.514538528145143,"hd_10"
0.42645436301484,0,0.0627267674504471,0.510818869534713,"hd_11"
0.279073543271221,0.183052943932876,0,0.537873512795903,"hd_12"
0.169582670947928,0,0.00552233604700987,0.824894993005062,"hd_13"
0.354978909507114,0,0.0172507823299966,0.627770308162889,"hd_14"
0.418305613022732,0.0426335539010296,0.14222619751819,0.396834635558048,"hd_15"
0.542731442628584,0.0111485677450899,0.0239705010013392,0.422149488624987,"hd_16"
0.683713943378866,0.00385053320137281,0.0591316118800176,0.253303911539744,"hd_17"
0.657613534031731,0.00313445282781092,0.101369877101014,0.237882136039444,"hd_18"
0.632917484671567,0.00183841789543697,0.0142411990638686,0.351002898369127,"hd_19"
0.449883070473982,0.0309944405762305,0.138099129664672,0.381023359285115,"hd_2"
0.364683510207536,0.0714903917691095,0.0444305092617276,0.519395588761627,"hd_20"
