"Factor","Median_modelC","Median_modelC2"
"Cell_Type",0.259664186535214,0.258072576447094
"Condition",0.00614435264445448,0.0104933701698912
"Donor (C) / Batch (C2)",0.0227768251810841,1.4861338504809e-11
"Residuals",0.678772877177018,0.710997122658419
