"Cell_Type","Condition","Residuals","Motif"
0.46867663714309,0.00176728715254093,0.529556075704369,"ahr"
0.0426316007030721,0,0.957368399296928,"aire"
0.672942226330163,0.0190819096694898,0.307975864000347,"ap1_1"
0.703224443711128,0.00488570307735828,0.291889853211514,"ap1_2"
0.211206331011862,0.00915462092831821,0.77963904805982,"ari5a"
0.320346095767691,3.70693893962563e-15,0.679653904232305,"ari5b"
0.383102697160275,0,0.616897302839725,"batf"
0.140709806120507,6.2153467154555e-12,0.859290193873278,"bcl6_1"
0.184915831044294,0.0251496123870112,0.789934556568694,"bcl6_2"
0.861970880124037,4.87189849681926e-19,0.138029119875963,"ccaat_cebp"
0.348620744245904,0.0212250253844456,0.63015423036965,"cenbp"
0.342821369902358,0.00319572777381826,0.653982902323824,"cpeb1"
0.410822336949348,0.0667307210414447,0.522446942009207,"creb_atf_1"
0.423570984154063,0.0412919863520944,0.535137029493842,"creb_atf_2"
0.809464633012599,1.95746128825596e-18,0.190535366987401,"creb_atf_3"
0.270868326224199,0.0257022357877848,0.703429437988016,"creb3_xbp1"
0.398939438888606,0,0.601060561111394,"ctcf"
0.464965853654349,2.26286489525562e-12,0.535034146343388,"cux_1"
0.219087393198553,0.023152669090765,0.757759937710682,"cux_2"
0.105896862276384,0,0.894103137723615,"cux_3"
0.280915803674741,2.42886850101086e-13,0.719084196325016,"cux_4"
0.247009072301104,0.0171842326380059,0.73580669506089,"ddit3cebpa"
0.0213622175313784,0,0.978637782468622,"dmrt1"
0.0239508408523326,4.65697378503899e-19,0.976049159147667,"dmrt3"
0.557823215120284,0.0126213667488929,0.429555418130823,"e2f_1"
0.433328952487335,0.0403848098643257,0.526286237648339,"e2f_2"
0.223304358637732,0,0.776695641362268,"e2f_3"
0.534910686218864,0.0373396115288903,0.427749702252246,"e2f_4"
0.710705241294394,0.0188028033700623,0.270491955335543,"ebf1"
0.780444659845842,0.017555025966077,0.202000314188081,"ebox_cacctg"
0.227907308860805,8.93993334827447e-16,0.772092691139194,"ebox_cacgtg_1"
0.131839556807742,0.011742643680611,0.856417799511647,"ebox_cacgtg_2"
0.66602966200388,0.0196899698508113,0.314280368145309,"ebox_cagatgg"
0.652381298495011,0.0206953191489473,0.326923382356042,"ebox_cagctg"
0.38335724458923,0.0252481503670801,0.59139460504369,"ebox_catatg"
0.511700739763995,0.0322014384246674,0.456097821811337,"egr"
0.572575735566334,0.0932153288445285,0.334208935589137,"ets_1"
0.753692761812801,0.0146926172533496,0.231614620933849,"ets_2"
0.276799141806434,0,0.723200858193566,"evi1_mecom"
0.245861694630382,0.0055552903690082,0.74858301500061,"ewsr1_fli1"
0.0934069367030706,0,0.906593063296929,"fezf1"
0.0722531831586336,0.00277932962508377,0.924967487216283,"fox_1"
0.206298057598727,0,0.793701942401273,"fox_2"
0.334423659436856,0.00816533724615125,0.657411003316993,"fox_3"
0.200774982020231,8.68335250572829e-18,0.799225017979769,"fox_4"
0.718297788563932,0.00146370169512156,0.280238509740946,"fox_5"
0.297112798169211,0.000695373064749692,0.702191828766039,"fox_6"
0.401304487613142,0.00451233124641462,0.594183181140444,"fox_7"
