"Motif","Cell_Type","Exposure","Donor","Residuals"
"klf_sp_3",0.181011007961906,0.365170018600788,0.113235021021622,0.340583952415684
"gli",0.296118404345735,0.352861346549081,0.0618034741349315,0.289216774970252
"smad_1",0.221778849348413,0.307411891995362,0.0712032139900574,0.399606044666168
"zic_2",0.140656560934508,0.268290346186716,0.0838569793530816,0.507196113525694
"prdm9",0.177817893044504,0.263193785553992,0.0461255690659227,0.512862752335582
"znf708",0.124831893160903,0.261075680683624,0.0522070831334025,0.56188534302207
"spdef_2",0.189211044680811,0.204347693112927,0.00815631238356183,0.598284949822701
"rfx_3",0.0414325050198726,0.147400814875934,0.0571228361894843,0.754043843914709
