"Cell_Type","Condition","Donor","Residuals","Motif"
0.689658990978219,0.0342362109574448,0.0163433651880913,0.259761432876245,"ahr"
0.212794900502832,0.0262729356984182,0.0156594428901736,0.745272720908576,"aire"
0.753095120580746,0.0432155596679276,0.00361159252088765,0.200077727230438,"ap1_1"
0.78740892342599,0.0354310181380921,9.2834535816182e-12,0.177160058426634,"ap1_2"
0.416604700502134,0.0788937045534342,0.0284750769907315,0.4760265179537,"ari5a"
0.589374401514715,0,0,0.410625598485285,"ari5b"
0.666534454701255,0.00798347575563025,0.0124817903939486,0.313000279149166,"batf"
0.311326538774809,0,0.00827247763618484,0.680400983589006,"bcl6_1"
0.571607490023144,0.00971304841752131,0.0141272690818598,0.404552192477475,"bcl6_2"
0.851319299173578,4.24815680625573e-12,0,0.148680700822174,"ccaat_cebp"
0.614725065014262,0.0162985190824667,0.017410671859435,0.351565744043837,"cenbp"
0.62639202238195,0.0622749097040631,6.00964555639812e-07,0.311332466949431,"cpeb1"
0.605419355086187,0.0206970879168654,0.0629491020250565,0.310934454971891,"creb_atf_1"
0.58295904945892,0.0218878436553795,0.0719917203312684,0.323161386554432,"creb_atf_2"
0.840415385316016,0.00114656871343804,2.49853661937478e-14,0.158438045970521,"creb_atf_3"
0.493021575192795,0.0434024454154002,0.0473745982189094,0.416201381172895,"creb3_xbp1"
0.585966290319312,0.0266116940369186,0.0562254551050547,0.331196560538714,"ctcf"
0.664145906143188,0.0820030332111401,0,0.253851060645672,"cux_1"
0.437280528626006,0.0308399690031599,0,0.531879502370834,"cux_2"
0.424581004994355,0.0163891863702407,2.08713590840908e-09,0.559029806548268,"cux_3"
0.626849731933087,0.00797221536622889,0,0.365178052700684,"cux_4"
0.445571147562424,0.0141022051032399,0.0100229480773894,0.530303699256947,"ddit3cebpa"
0.263388966258392,0.0211279282622567,0.0179573708114516,0.6975257346679,"dmrt1"
0.272099521264868,0.0011756793058273,6.59821545861384e-08,0.72672473344715,"dmrt3"
0.708979359689323,0.034074042034428,0.00705815307472959,0.249888445201519,"e2f_1"
0.614149006634855,0.0326783921371253,0.057851147278779,0.29532145394924,"e2f_2"
0.494674944592307,0.0569312843609999,0.00309610404367506,0.445297667003018,"e2f_3"
0.659999184662217,0.112476374523032,0.0221387554142019,0.205385685400549,"e2f_4"
0.781161832273466,0.00800165223525812,0.00419225691882922,0.206644258572447,"ebf1"
0.796989446583748,0.00766928959969023,0.0106656049890166,0.184675658827545,"ebox_cacctg"
0.382623337806323,0.0055536220476273,0.0836467851200049,0.528176255026045,"ebox_cacgtg_1"
0.204962466883875,0.0804997137659778,0.046556793414112,0.667981025936035,"ebox_cacgtg_2"
0.723065926320593,0.050879956986602,0.0158749145116691,0.210179202181136,"ebox_cagatgg"
0.694732975415224,0.0561110784618191,0.0229989616883009,0.226156984434656,"ebox_cagctg"
0.572785282621566,0.124046230405458,0.0113960074852465,0.291772479487729,"ebox_catatg"
0.73652640324094,0.0262778948343128,0.00841743578452712,0.22877826614022,"egr"
0.741214101667797,0.0290990689655083,0.0398789475336521,0.189807881833043,"ets_1"
0.79708709809836,0.0131075145423066,0,0.189805387359333,"ets_2"
0.573873018485508,0.000911734168331601,0.000853596307728223,0.424361651038433,"evi1_mecom"
0.558264922101368,0.00787519028118005,0.00386940461783878,0.429990482999613,"ewsr1_fli1"
0.276917191737197,0.0563679143287776,0.00822650216251962,0.658488391771505,"fezf1"
0.31381816901622,0.0432500974375329,4.75809952832963e-11,0.642931733498666,"fox_1"
0.496055581645345,0.00258682056297166,5.16340731541064e-13,0.501357597791167,"fox_2"
0.595967124221158,0.00387569393846692,2.28596285380464e-14,0.400157181840352,"fox_3"
0.470444717917275,0.00703105271402131,0.0346366725725924,0.487887556796112,"fox_4"
0.779810414862195,0.0320401651846215,3.70099501208985e-15,0.188149419953179,"fox_5"
0.60552151483745,0.0662565820747527,2.13950350238565e-12,0.328221903085658,"fox_6"
0.667407614129336,0.0533629447355674,1.32847860940609e-11,0.279229441121811,"fox_7"
0.556313761001214,0.103833789665485,0.00433891189016093,0.33551353744314,"fox_8"
0.577099846284269,0.0783634382764023,0.00518284526171401,0.339353870177615,"fox_9"
