"","name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"1","AAAS",0.592769780559153,0.233142520587977,FALSE,0.346731319793344,1,FALSE
"2","AACS",0.248273405045017,0.398460363863822,FALSE,0.361798767882286,1,FALSE
"3","AAGAB",0.0962034652742041,0.846184658584384,FALSE,0.399738569456506,1,FALSE
"4","AAK1",-0.0157891612863157,0.908084609538646,FALSE,0.86330684553425,1,FALSE
"5","AAMDC",0.142852391126095,0.762191097361149,FALSE,0.240059464960801,1,FALSE
"6","AAMP",-0.21901974576616,0.834768333517652,FALSE,-0.13607534200571,1,FALSE
"7","AAR2",-0.115533601652555,0.963257737697482,FALSE,0.345528572711687,1,FALSE
"8","AARS2",-0.0195702737524851,0.980445024349617,FALSE,-0.293372735120273,1,FALSE
"9","AASDH",0.00841963841806554,0.593335071456374,FALSE,0.545954576675611,1,FALSE
"10","AASDHPPT",-0.129685256468513,0.939650066769834,FALSE,0.051275436267173,1,FALSE
"11","AATF",-0.234553270641054,0.941228477463989,FALSE,0.560002351161244,1,FALSE
"12","AATK",0.399304117998959,0.314614336683249,FALSE,-1.39290840867119,1,FALSE
"13","ABAT",0.370686624448315,0.560919315203028,FALSE,-0.137030705950886,1,FALSE
"14","ABCA1",-0.162475447593215,0.960541292937228,FALSE,0.010744083650629,1,FALSE
"15","ABCA2",0.0879189809869703,0.752910783163269,FALSE,-0.732256976353485,1,FALSE
"16","ABCA5",-0.333149442152074,0.943986935126788,FALSE,-0.0709803137838252,1,FALSE
"17","ABCA7",0.108401912564667,1,FALSE,0.398341777951032,1,FALSE
"18","ABCB1",0.637635030301281,0.052615086160289,FALSE,-1.68569015789903,1,FALSE
"19","ABCB10",0.270122895752023,0.634237471376289,FALSE,0.223418262959304,1,FALSE
"20","ABCB7",-0.603800776582516,0.995103210565465,FALSE,-0.612860409283247,1,FALSE
"21","ABCB8",0.145956635040472,0.925282659328835,FALSE,0.785698835870926,1,FALSE
"22","ABCC1",-0.131921910635859,0.803034612682368,FALSE,-0.472922155450985,1,FALSE
"23","ABCC10",-0.110576592941323,0.669250290641091,FALSE,0.109475355150657,1,FALSE
"24","ABCC3",0.167731784999482,0.69622472316386,FALSE,-0.770850809175023,1,FALSE
"25","ABCC4",0.0319278454811001,0.797852335757054,FALSE,-0.282646328527214,1,FALSE
"26","ABCC5",-0.0642346476872109,0.995973767907286,FALSE,-0.573685132385902,1,FALSE
"27","ABCC6",0.812953699557275,0.545365799454927,FALSE,-1.31539904145027,1,FALSE
"28","ABCD1",-0.3341743624279,0.522903699258349,FALSE,-0.341668292161054,1,FALSE
"29","ABCD3",0.205191196981827,0.672273934070734,FALSE,0.399537678967997,1,FALSE
"30","ABCD4",-0.707037980771623,0.932483631176914,FALSE,-0.367373316564049,1,FALSE
"31","ABCE1",-0.516707153987795,0.790980336278494,FALSE,-0.120822264271137,1,FALSE
"32","ABCF1",-0.332366946612101,0.852295095308173,FALSE,0.655467408468382,1,FALSE
"33","ABCF2",-0.0749792396563461,0.90022924585772,FALSE,0.462004896159813,1,FALSE
"34","ABCF3",0.13363246558875,0.872038392630553,FALSE,0.706627264879727,1,FALSE
"35","ABCG1",-0.0362947158887801,0.952184219400033,FALSE,-2.74403414412984,1,FALSE
"36","ABHD10",0.00267893532938818,0.943735244620864,FALSE,0.285330775129201,1,FALSE
"37","ABHD11",0.159012433107669,0.8602896881407,FALSE,-0.605650659973916,1,FALSE
"38","ABHD12",-0.316834337621691,0.645945679702119,FALSE,-0.599908779590653,1,FALSE
"39","ABHD13",-0.385553385953303,0.654460936076788,FALSE,-0.587277816212775,1,FALSE
"40","ABHD14A",0.198151217870186,0.991285717287696,FALSE,-0.744034144129838,1,FALSE
"41","ABHD14B",0.311173181866455,0.926684991594957,FALSE,-0.657493266068382,1,FALSE
"42","ABHD15",0.305906270420254,0.68878970815159,FALSE,0.229468053693086,1,FALSE
"43","ABHD17A",0.134443524534878,0.840678348711993,FALSE,0.116611536432286,1,FALSE
"44","ABHD17B",-0.031994051317164,0.903684920286223,FALSE,-0.0529745257295096,1,FALSE
"45","ABHD2",-0.116110235169977,0.992253204665103,FALSE,-0.184821159759393,1,FALSE
"46","ABHD3",0.325930992281104,0.562659962241734,FALSE,0.322075039468698,1,FALSE
"47","ABHD4",0.326558842348108,0.525913068545589,FALSE,-0.409565752624796,1,FALSE
"48","ABHD5",0.25396059700744,0.556237262941721,FALSE,-0.711381800930408,1,FALSE
"49","ABHD6",-0.0750336969744714,0.920921870950353,FALSE,0.0595822553877143,1,FALSE
"50","ABHD8",-0.243884841526404,0.742346333412298,FALSE,0.535515348486973,1,FALSE
"51","ABI1",-0.0031575968161172,0.957569857709352,FALSE,-0.0160885552877525,1,FALSE
"52","ABI2",0.0130184465714175,0.876013147344017,FALSE,-0.588116000681405,1,FALSE
"53","ABI3",-0.0849989280039233,0.768802017584696,FALSE,-0.470855696838854,1,FALSE
"54","ABL1",0.326516071348726,0.357928307094098,FALSE,-0.202901143997595,1,FALSE
"55","ABL2",0.271890469265122,0.450716940251244,FALSE,0.112494178266986,1,FALSE
"56","ABLIM1",0.209875080809562,0.380417376924019,FALSE,-1.11222329601571,1,FALSE
"57","ABR",-0.145988778786659,0.882775383059828,FALSE,0.0629689439933583,1,FALSE
"58","ABRACL",0.233715094820446,0.568516454096397,FALSE,0.176779514166226,1,FALSE
"59","ABT1",0.0802536584674206,0.938319520057281,FALSE,0.166434634278593,1,FALSE
"60","ABTB1",-0.37446658514272,0.841102004502744,FALSE,-1.39910667837681,1,FALSE
"61","ABTB2",0.198290625244813,0.384253511029998,FALSE,0.858630358324777,1,FALSE
"62","ACAA1",0.00132536341158756,0.972837423461581,FALSE,-0.00874318165588672,1,FALSE
"63","ACAA2",-0.142176474990963,0.832017683147042,FALSE,0.593705752363547,1,FALSE
"64","ACACA",0.123356005636498,0.786513809944144,FALSE,0.68249560240683,1,FALSE
"65","ACACB",0.554897713698436,0.304350324375917,FALSE,-0.588828618646445,1,FALSE
"66","ACAD10",0.260597178220949,0.455897306352986,FALSE,0.267743023646515,1,FALSE
"67","ACAD8",-0.207481296290827,0.974795222359057,FALSE,-0.743028431268693,1,FALSE
"68","ACAD9",0.450119915483018,0.891228447386344,FALSE,0.522202693742299,1,FALSE
"69","ACADM",-0.315503773899824,0.901710789293444,FALSE,-0.0880202170822892,1,FALSE
"70","ACADS",0.483085270674908,0.937297865813334,FALSE,0.368630801364712,1,FALSE
"71","ACADSB",-0.220503469968459,0.821518217839379,FALSE,-1.53215959470739,1,FALSE
"72","ACADVL",0.439235254299744,0.565468152200709,FALSE,0.37158650847962,3.90503681492901e-10,FALSE
"73","ACAP1",0.210582208642927,0.80895983237605,FALSE,0.809874530498089,1,FALSE
"74","ACAP2",-0.00364509063764263,0.955482362388653,FALSE,-0.26587131969128,1,FALSE
"75","ACAP3",-0.000314394874532959,0.946244650191407,FALSE,0.459022899615539,1,FALSE
"76","ACAT1",0.122018619772447,0.969050929960964,FALSE,1.05409045187423,1,FALSE
"77","ACAT2",-0.0659803115598504,0.922554895134751,FALSE,0.269563459270884,1,FALSE
"78","ACBD3",0.500232136442525,0.189349740971492,FALSE,0.209581354442652,1,FALSE
"79","ACBD5",-0.0402584492808431,0.938852160039946,FALSE,0.00522285593646554,1,FALSE
"80","ACBD6",-0.035220458928226,0.845135444866875,FALSE,-0.820822777186222,1,FALSE
"81","ACCS",0.240918540645356,0.916208015696243,FALSE,-0.693910664704002,1,FALSE
"82","ACD",0.541573463177636,0.738147963376363,FALSE,-0.912892457877798,1,FALSE
"83","ACER3",-0.121656654133391,0.979698764908024,FALSE,0.903838869486334,0.329776775658642,FALSE
"84","ACIN1",0.400136880704482,0.83361649619931,FALSE,0.473015688999299,1.51802702028148e-10,FALSE
"85","ACLY",-0.0919292911438348,0.921503363673983,FALSE,0.492836378065782,0.553268100174867,FALSE
"86","ACO1",0.238562823575483,0.877489038969217,FALSE,-0.000241904540345672,1,FALSE
"87","ACO2",0.0864032672246025,0.571258393670882,FALSE,0.352684362847723,1,FALSE
"88","ACOT13",0.770609472912453,0.495230879358811,FALSE,0.100906203991773,1,FALSE
"89","ACOT8",-0.534888668059861,0.537520790532536,FALSE,0.0633207779277658,1,FALSE
"90","ACOT9",-0.552436453701045,0.558737062925111,FALSE,0.121186337677353,1,FALSE
"91","ACOX1",-0.00531387938026377,0.981918046917548,FALSE,-0.251896099144114,1,FALSE
"92","ACOX2",0.757904586959574,0.194726202807733,FALSE,1.6608235752666,1,FALSE
"93","ACOX3",0.263503535697189,0.405464600953096,FALSE,0.476570181492206,1,FALSE
"94","ACP1",0.16756605730446,0.845103275758269,FALSE,-0.171909222634606,1,FALSE
"95","ACP2",-0.475661962858693,0.634834529198656,FALSE,0.274465587809675,1,FALSE
