"","TF.name","cvar","mtfr","p_val","cor_score","significant","Call","Call.category","cell_type"
"3782","NFIC::TLX1",-0.979785030429847,0.651551080307144,0,-0.362167555841055,"negative_significant",NA,"inconclusive","Th-Mem"
"3787","NFYA",1.20244688406756,-1.22660980384125,0.00015,-0.256417278090286,"negative_significant",NA,"inconclusive","Th-Mem"
"3789","NFYC",1.16526761858534,-1.29047979233504,0,-0.287302207182149,"negative_significant",NA,"inconclusive","Th-Mem"
"3790","NHLH1",-0.596226664684171,0.865541389458785,0,-0.359117956009379,"negative_significant","Little effect","Little effect","Th-Mem"
"3802","NR1D1",-0.873026187289549,-0.962352124960467,0,0.412371505401196,"positive_significant",NA,"inconclusive","Th-Mem"
"3809","NR2C1",-0.887279666790394,-0.815543123997463,0,-0.33082738646489,"negative_significant","MethylPlus","MethylPlus","Th-Mem"
"3811","NR2F1",-1.12790542135874,-0.68559142297925,0,0.316984638828362,"positive_significant","MethylPlus","MethylPlus","Th-Mem"
"3812","NR2F1",-1.12790542135874,-0.68559142297925,0,0.316984638828362,"positive_significant","MethylPlus","MethylPlus","Th-Mem"
"3819","NR5A1",-0.890867554327871,-0.724674789436331,0,-0.253456303468019,"negative_significant",NA,"inconclusive","Th-Mem"
"3821","NRF1",0.540959645852349,0.553914133973388,0,0.302555307072005,"positive_significant",NA,"inconclusive","Th-Mem"
"3833","OSR2",-0.812542417719021,0.538293386921988,0,-0.581995693069859,"negative_significant","inconclusive","inconclusive","Th-Mem"
"3896","RARA",-0.712200175474967,-0.831405833476869,0,0.459632970490674,"positive_significant","MethylPlus","MethylPlus","Th-Mem"
"3897","RARA::RXRA",-0.806953547438354,0.540090473085415,0,-0.450548567730541,"negative_significant",NA,"inconclusive","Th-Mem"
"3902","REL",-0.586066099652551,-0.587921587275108,0,-0.31859200683498,"negative_significant",NA,"inconclusive","Th-Mem"
"3918","RUNX2",0.679396535338542,0.660205382347127,0,0.423721908119886,"positive_significant","MethylMinus","MethylMinus","Th-Mem"
"3936","SNAI2",-0.711874035977572,-0.555775951676936,0.00195,-0.188133785810721,"negative_significant","MethylPlus","MethylPlus","Th-Mem"
"3950","SP1",0.90079591470756,-0.540630671266828,0.00195,0.190805293921681,"positive_significant","MethylPlus","MethylPlus","Th-Mem"
"3952","SP3",0.616026338649385,-0.738883206466797,0.03625,0.127968745267876,"positive_significant","Little effect","Little effect","Th-Mem"
"3955","SP9",0.642467948774435,-0.870634731448973,0.02755,0.134632213350846,"positive_significant","Little effect","Little effect","Th-Mem"
"3956","SPDEF",0.784114895974269,0.895999064655073,0,0.501441116040047,"positive_significant","MethylMinus","MethylMinus","Th-Mem"
"3957","SPDEF",0.784114895974269,0.895999064655073,0,0.501441116040047,"positive_significant","MethylMinus","MethylMinus","Th-Mem"
"3958","SPI1",-3.08939494801419,0.629638141492383,0,-0.714378165043731,"negative_significant",NA,"inconclusive","Th-Mem"
"3959","SPIB",-3.64712671884962,0.630800233877308,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
"3960","SPIB",-3.64712671884962,0.630800233877308,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
"3961","SPIB",-3.64712671884962,0.630800233877308,0,-0.708474068359366,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
