"name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"NR4A2",-0.0864457049098721,0.864156656581842,FALSE,-2.45466527974708,1.26360012117435e-139,TRUE
"OGFRL1",-0.101157355348141,0.98570225573964,FALSE,-1.38226735960616,1.01492797124154e-98,TRUE
"PABPC1",-0.00224299801432591,0.966452571108573,FALSE,-0.681904089647963,2.07886888316381e-59,TRUE
"PCBP2",-0.227640904290227,0.55617319088109,FALSE,-1.06146492887439,9.2553101932711e-12,TRUE
"PELI1",-0.633766009249877,0.088885564710627,FALSE,-1.83969188310014,2.15257085827022e-05,TRUE
"PLAUR",-0.135234666456125,0.892681368741,FALSE,-1.20940586417784,1.32510204739713e-26,TRUE
"PNRC1",-0.157090896124332,0.758779544444285,FALSE,-1.26389285691023,1.65417817890039e-55,TRUE
"PPP1R15A",-0.494307255911633,0.250897014020337,FALSE,-0.516036451533304,8.07258910588182e-10,TRUE
"PREX1",-0.185962324353693,0.746351697812257,FALSE,-0.832358880231115,2.63520866258259e-10,TRUE
"PTGS2",-0.10479488255687,0.864274909967929,FALSE,-3.11882707302413,4.70722952791821e-17,TRUE
"RASSF5",-0.296168539059514,0.600097987152866,FALSE,-0.986091416197312,3.0663563715468e-16,TRUE
"RGS2",-0.208601523201871,0.518551703528124,FALSE,-1.45487156365442,1.10464034389232e-161,TRUE
"RPL10",-0.156132354974181,0.760580119555324,FALSE,-1.54758769398811,6.93312080759576e-113,TRUE
"RPL10A",-0.448847874863113,0.71014094531185,FALSE,-0.726633993018024,4.35142878803093e-20,TRUE
"RPL15",-0.0773467627479406,1,FALSE,-0.997756598029517,7.46933650735171e-76,TRUE
"RPL18",-0.237582815914826,0.597556189511518,FALSE,-0.56495393751976,1.37194497913136e-16,TRUE
"RPL18A",-0.294864737751231,0.467391015907805,FALSE,-0.607897456143809,4.01056965512345e-13,TRUE
"RPL32",-0.19754362873086,0.879511346004305,FALSE,-0.534680264057926,7.28567200339548e-08,TRUE
"RPL34",-0.588659604642273,0.660767639679071,FALSE,-0.537562820449008,2.76022621539957e-10,TRUE
"RPL4",-0.296128781453853,0.893583754825104,FALSE,-1.00254655379515,3.05198130918853e-102,TRUE
"RPL9",-0.124443349838999,0.884736410501651,FALSE,-0.902288990742542,2.20706863814975e-32,TRUE
"RPS16",-0.233124518644272,0.481519060684999,FALSE,-0.689323800337488,1.09654210355135e-30,TRUE
"RPS2",-0.137569937946744,0.75374353183629,FALSE,-1.0360344346759,1.09699738282363e-100,TRUE
"RPS27A",-0.571669751909407,0.734849489744066,FALSE,-0.50873189430827,8.35106201427055e-05,TRUE
"RPS3A",-0.0413022112297053,0.877663529693901,FALSE,-0.871361670448876,6.75774521084867e-28,TRUE
"RPS5",-0.361422504500782,0.518455409756946,FALSE,-0.652662096682149,1.74516870075302e-15,TRUE
"SAT1",-0.0213465278314757,0.674069328903665,FALSE,-0.769753148132412,5.7056921309676e-38,TRUE
"SERP1",-0.168312310992014,0.77985251813494,FALSE,-0.54556870304679,9.62406496208646e-05,TRUE
"SLC25A5",-0.104070049982924,0.977865789191399,FALSE,-1.10874822010603,0.000168031876162636,TRUE
"SLC38A2",-0.362216999641293,0.904210814911058,FALSE,-1.14316963572143,1.98742448313811e-29,TRUE
"SLC7A7",-0.0241849754976205,0.798278006915618,FALSE,-0.536637636357183,0.0259588593400932,TRUE
"SMDT1",-0.919281660511076,0.0136066157581193,TRUE,-0.802690182498536,1,FALSE
"SOD2",-0.197461220797495,0.941143164062529,FALSE,-1.37633271969292,4.75065186064695e-98,TRUE
"SORL1",-0.0739267194485706,0.979274404151104,FALSE,-1.44827158687266,8.48117819223071e-83,TRUE
"SULF2",-0.125682098713699,0.843250628318636,FALSE,-0.562208517972627,2.52341783816873e-05,TRUE
"TNFAIP2",-0.149689844167578,0.55371666204463,FALSE,-0.962391391980024,1.03000467744625e-50,TRUE
"TNFAIP3",-0.313272109214705,0.895301577224551,FALSE,-1.41476026841874,1.27393647662386e-25,TRUE
"TPT1",-0.15984118298051,0.774393279191541,FALSE,-0.708731818468665,2.4356372868221e-55,TRUE
"TSC22D3",-0.0898992932434985,0.652131385402658,FALSE,-1.79436276651546,2.96609033567908e-101,TRUE
"TXNIP",-0.151545676749822,0.760580119555324,FALSE,-1.70479132568801,1.91312972228943e-221,TRUE
"TYROBP",-0.192376235587443,0.56910173360807,FALSE,-0.672964256723209,5.20886003550402e-53,TRUE
"UBC",-1.22831977606128,0.633633563942988,FALSE,-0.578524760531689,4.5915622772916e-34,TRUE
"YPEL5",-0.32105366341673,0.731040189273103,FALSE,-1.30829215495601,4.80585329954257e-39,TRUE
"ZDHHC7",-0.273237597960526,0.704663445537863,FALSE,-0.74463042231187,0.000916451454572461,TRUE
"ZFP36",-0.425414048596682,0.180561862371785,FALSE,-1.05940856225502,2.91232707752866e-59,TRUE
"ZFP36L1",-0.139880030928026,0.686329830139977,FALSE,-0.972253099229068,3.192994170922e-24,TRUE
"ZFP36L2",-0.212910734719886,0.77485962631874,FALSE,-1.81646332856648,1.45797424661124e-137,TRUE
